client_version_id,client_id,gender,age_bucket,marital_status,education_level,county,onboarding_channel,onboarding_method,customer_segment,registration_date,valid_from_date,valid_to_date
CV00841-01,CL00841,F,50-64,Single,Bachelor,Brasov,Branch,Assisted,Premium,2020-12-14,2024-01-01,9999-12-31
CV00842-01,CL00842,F,35-49,Single,Doctorate,Galati,Branch,Assisted,Standard,2018-11-23,2024-01-01,9999-12-31
CV00843-01,CL00843,M,25-34,Single,Master,Constanta,Digital,Self-service,Standard,2023-06-26,2024-01-01,9999-12-31
CV00844-01,CL00844,F,25-34,Married,High School,Bucuresti,Digital,Self-service,Standard,2022-06-02,2024-01-01,9999-12-31
CV00845-01,CL00845,M,25-34,Single,Master,Dolj,Digital,Self-service,Standard,2018-06-14,2024-01-01,9999-12-31
CV00846-01,CL00846,F,35-49,Married,Master,Dolj,Digital,Self-service,Standard,2020-05-26,2024-01-01,2024-06-30
CV00846-02,CL00846,F,35-49,Married,Master,Dolj,Digital,Self-service,Standard,2020-05-26,2024-07-01,9999-12-31
CV00847-01,CL00847,M,50-64,Married,High School,Bucuresti,Digital,Self-service,Premium,2020-12-25,2024-01-01,9999-12-31
CV00848-01,CL00848,M,25-34,Married,Post-secondary,Bucuresti,Digital,Self-service,Premium,2019-10-04,2024-01-01,9999-12-31
CV00849-01,CL00849,F,35-49,Single,Post-secondary,Cluj,Branch,Assisted,Premium,2023-11-24,2024-01-01,2024-06-30
CV00849-02,CL00849,F,35-49,Single,Post-secondary,Cluj,Digital,Self-service,Premium,2023-11-24,2024-07-01,9999-12-31
CV00850-01,CL00850,M,50-64,Married,High School,Bucuresti,Branch,Assisted,Premium,2023-09-08,2024-01-01,9999-12-31
CV00851-01,CL00851,M,35-49,Divorced,High School,Galati,Digital,Self-service,Standard,2019-12-12,2024-01-01,9999-12-31
CV00852-01,CL00852,F,50-64,Single,Master,Timis,Branch,Assisted,Standard,2018-04-04,2024-01-01,9999-12-31
CV00853-01,CL00853,M,50-64,Divorced,Post-secondary,Bucuresti,Branch,Assisted,Standard,2019-08-21,2024-01-01,9999-12-31
CV00854-01,CL00854,M,18-24,Married,High School,Timis,Digital,Self-service,Standard,2018-04-01,2024-01-01,9999-12-31
CV00855-01,CL00855,M,35-49,Divorced,Bachelor,Bucuresti,Branch,Assisted,Standard,2023-01-09,2024-01-01,9999-12-31
CV00856-01,CL00856,F,65+,Married,Master,Bucuresti,Digital,Self-service,Standard,2021-01-09,2024-01-01,9999-12-31
CV00857-01,CL00857,F,25-34,Single,Post-secondary,Sibiu,Digital,Self-service,Standard,2023-08-14,2024-01-01,2024-06-30
CV00857-02,CL00857,F,25-34,Single,Post-secondary,Sibiu,Digital,Self-service,Standard,2023-08-14,2024-07-01,9999-12-31
CV00858-01,CL00858,M,35-49,Single,Bachelor,Galati,Digital,Self-service,Premium,2020-09-20,2024-01-01,2024-06-30
CV00858-02,CL00858,M,35-49,Single,Bachelor,Galati,Digital,Self-service,Standard,2020-09-20,2024-07-01,9999-12-31
CV00859-01,CL00859,M,18-24,Single,Master,Sibiu,Digital,Self-service,Standard,2022-04-17,2024-01-01,9999-12-31
CV00860-01,CL00860,M,25-34,Single,High School,Dolj,Digital,Self-service,Standard,2023-03-31,2024-01-01,2024-06-30
CV00860-02,CL00860,M,25-34,Single,High School,Dolj,Digital,Self-service,Standard,2023-03-31,2024-07-01,9999-12-31
CV00861-01,CL00861,M,18-24,Single,High School,Dolj,Digital,Self-service,Premium,2018-08-14,2024-01-01,9999-12-31
CV00862-01,CL00862,F,18-24,Single,Bachelor,Bucuresti,Branch,Assisted,Standard,2023-04-16,2024-01-01,9999-12-31
CV00863-01,CL00863,F,35-49,Married,Master,Iasi,Digital,Self-service,Premium,2023-12-29,2024-01-01,9999-12-31
CV00864-01,CL00864,M,35-49,Married,Bachelor,Bucuresti,Branch,Assisted,Standard,2022-11-13,2024-01-01,2024-06-30
CV00864-02,CL00864,M,35-49,Married,Bachelor,Bucuresti,Branch,Assisted,Premium,2022-11-13,2024-07-01,9999-12-31
CV00865-01,CL00865,M,35-49,Married,Post-secondary,Cluj,Digital,Self-service,Premium,2022-08-24,2024-01-01,9999-12-31
CV00866-01,CL00866,M,50-64,Divorced,Bachelor,Bucuresti,Digital,Self-service,Premium,2023-12-19,2024-01-01,9999-12-31
CV00867-01,CL00867,F,35-49,Married,Bachelor,Constanta,Digital,Self-service,Standard,2023-05-28,2024-01-01,9999-12-31
CV00868-01,CL00868,M,50-64,Married,Post-secondary,Cluj,Digital,Self-service,Standard,2023-09-30,2024-01-01,9999-12-31
CV00869-01,CL00869,M,35-49,Married,High School,Iasi,Branch,Assisted,Standard,2022-04-19,2024-01-01,9999-12-31
CV00870-01,CL00870,F,25-34,Married,Bachelor,Cluj,Digital,Self-service,Standard,2022-06-05,2024-01-01,9999-12-31
CV00871-01,CL00871,F,25-34,Single,Bachelor,Bucuresti,Digital,Self-service,Standard,2018-12-23,2024-01-01,9999-12-31
CV00872-01,CL00872,F,25-34,Divorced,High School,Brasov,Branch,Assisted,Premium,2019-07-22,2024-01-01,2024-06-30
CV00872-02,CL00872,F,25-34,Divorced,High School,Brasov,Digital,Self-service,Premium,2019-07-22,2024-07-01,9999-12-31
CV00873-01,CL00873,F,35-49,Single,Post-secondary,Constanta,Digital,Self-service,Standard,2020-08-26,2024-01-01,9999-12-31
CV00874-01,CL00874,M,35-49,Divorced,High School,Iasi,Digital,Self-service,Premium,2020-02-25,2024-01-01,9999-12-31
CV00875-01,CL00875,M,18-24,Single,High School,Iasi,Digital,Self-service,Standard,2020-02-13,2024-01-01,9999-12-31
CV00876-01,CL00876,F,25-34,Divorced,Bachelor,Iasi,Digital,Self-service,Standard,2022-12-18,2024-01-01,9999-12-31
CV00877-01,CL00877,M,25-34,Single,Master,Galati,Digital,Self-service,Standard,2021-08-13,2024-01-01,2024-06-30
CV00877-02,CL00877,M,25-34,Single,Master,Galati,Digital,Self-service,Standard,2021-08-13,2024-07-01,9999-12-31
CV00878-01,CL00878,M,25-34,Married,Bachelor,Iasi,Digital,Self-service,Standard,2020-02-29,2024-01-01,9999-12-31
CV00879-01,CL00879,M,25-34,Married,Bachelor,Prahova,Digital,Self-service,Standard,2022-10-29,2024-01-01,9999-12-31
CV00880-01,CL00880,F,35-49,Divorced,High School,Brasov,Digital,Self-service,Standard,2021-08-30,2024-01-01,9999-12-31
CV00881-01,CL00881,M,50-64,Married,High School,Galati,Digital,Self-service,Standard,2019-07-05,2024-01-01,2024-06-30
CV00881-02,CL00881,M,50-64,Married,High School,Galati,Digital,Self-service,Standard,2019-07-05,2024-07-01,9999-12-31
CV00882-01,CL00882,F,25-34,Married,Master,Bucuresti,Digital,Self-service,Standard,2023-08-29,2024-01-01,9999-12-31
CV00883-01,CL00883,F,25-34,Single,Bachelor,Cluj,Digital,Self-service,Premium,2021-01-03,2024-01-01,9999-12-31
CV00884-01,CL00884,F,50-64,Married,High School,Sibiu,Branch,Assisted,Standard,2019-03-19,2024-01-01,9999-12-31
CV00885-01,CL00885,M,25-34,Married,Master,Timis,Digital,Self-service,Standard,2018-09-11,2024-01-01,9999-12-31
CV00886-01,CL00886,F,50-64,Divorced,High School,Timis,Digital,Self-service,Standard,2018-09-14,2024-01-01,9999-12-31
CV00887-01,CL00887,F,50-64,Married,Bachelor,Dolj,Branch,Assisted,Premium,2023-06-07,2024-01-01,9999-12-31
CV00888-01,CL00888,F,25-34,Single,Master,Dolj,Branch,Assisted,Standard,2023-07-04,2024-01-01,9999-12-31
CV00889-01,CL00889,M,35-49,Married,Master,Constanta,Digital,Self-service,Standard,2018-03-01,2024-01-01,9999-12-31
CV00890-01,CL00890,F,25-34,Single,High School,Prahova,Digital,Self-service,Standard,2019-09-08,2024-01-01,9999-12-31
CV00891-01,CL00891,M,25-34,Single,High School,Brasov,Digital,Self-service,Premium,2018-10-15,2024-01-01,9999-12-31
CV00892-01,CL00892,F,18-24,Single,Bachelor,Prahova,Digital,Self-service,Standard,2018-09-12,2024-01-01,9999-12-31
CV00893-01,CL00893,F,25-34,Single,Post-secondary,Galati,Branch,Assisted,Premium,2019-09-20,2024-01-01,9999-12-31
CV00894-01,CL00894,M,18-24,Single,Post-secondary,Timis,Digital,Self-service,Standard,2023-10-24,2024-01-01,9999-12-31
CV00895-01,CL00895,M,35-49,Married,High School,Cluj,Digital,Self-service,Premium,2020-07-29,2024-01-01,9999-12-31
CV00896-01,CL00896,F,50-64,Married,High School,Sibiu,Branch,Assisted,Standard,2021-07-25,2024-01-01,9999-12-31
CV00897-01,CL00897,F,65+,Married,High School,Cluj,Branch,Assisted,Standard,2022-06-26,2024-01-01,9999-12-31
CV00898-01,CL00898,M,18-24,Single,Bachelor,Prahova,Digital,Self-service,Standard,2022-07-23,2024-01-01,9999-12-31
CV00899-01,CL00899,M,35-49,Divorced,Master,Bucuresti,Digital,Self-service,Standard,2021-08-24,2024-01-01,9999-12-31
CV00900-01,CL00900,M,50-64,Married,Post-secondary,Timis,Digital,Self-service,Standard,2021-05-07,2024-01-01,9999-12-31
CV00901-01,CL00901,F,18-24,Single,High School,Timis,Digital,Self-service,Standard,2018-08-29,2024-01-01,9999-12-31
CV00902-01,CL00902,M,25-34,Single,Master,Bucuresti,Digital,Self-service,Standard,2020-02-03,2024-01-01,9999-12-31
CV00903-01,CL00903,M,35-49,Single,Bachelor,Bucuresti,Digital,Self-service,Premium,2018-07-28,2024-01-01,9999-12-31
CV00904-01,CL00904,M,50-64,Divorced,Bachelor,Brasov,Branch,Assisted,Standard,2023-03-07,2024-01-01,9999-12-31
CV00905-01,CL00905,F,25-34,Single,High School,Constanta,Digital,Self-service,Standard,2018-01-22,2024-01-01,9999-12-31
CV00906-01,CL00906,M,35-49,Single,High School,Cluj,Digital,Self-service,Standard,2018-02-11,2024-01-01,9999-12-31
CV00907-01,CL00907,M,18-24,Single,Master,Timis,Digital,Self-service,Standard,2020-09-21,2024-01-01,9999-12-31
CV00908-01,CL00908,M,50-64,Married,Doctorate,Iasi,Digital,Self-service,Premium,2018-07-29,2024-01-01,2024-06-30
CV00908-02,CL00908,M,50-64,Married,Doctorate,Iasi,Digital,Self-service,Standard,2018-07-29,2024-07-01,9999-12-31
CV00909-01,CL00909,M,35-49,Married,High School,Constanta,Digital,Self-service,Standard,2021-12-15,2024-01-01,9999-12-31
CV00910-01,CL00910,M,50-64,Single,Bachelor,Cluj,Digital,Self-service,Standard,2020-01-19,2024-01-01,9999-12-31
CV00911-01,CL00911,M,18-24,Single,Post-secondary,Cluj,Digital,Self-service,Standard,2018-09-23,2024-01-01,9999-12-31
CV00912-01,CL00912,M,18-24,Single,High School,Bucuresti,Digital,Self-service,Standard,2022-07-28,2024-01-01,9999-12-31
CV00913-01,CL00913,M,50-64,Married,High School,Timis,Branch,Assisted,Standard,2021-10-31,2024-01-01,9999-12-31
CV00914-01,CL00914,M,25-34,Single,Master,Brasov,Branch,Assisted,Standard,2023-04-12,2024-01-01,2024-06-30
CV00914-02,CL00914,M,25-34,Single,Master,Brasov,Branch,Assisted,Premium,2023-04-12,2024-07-01,9999-12-31
CV00915-01,CL00915,M,35-49,Single,Post-secondary,Bucuresti,Digital,Self-service,Premium,2022-02-10,2024-01-01,9999-12-31
CV00916-01,CL00916,F,50-64,Married,High School,Cluj,Digital,Self-service,Standard,2023-03-21,2024-01-01,9999-12-31
CV00917-01,CL00917,M,35-49,Married,Bachelor,Dolj,Digital,Self-service,Standard,2020-03-06,2024-01-01,9999-12-31
CV00918-01,CL00918,M,35-49,Married,Post-secondary,Galati,Branch,Assisted,Standard,2018-12-19,2024-01-01,9999-12-31
CV00919-01,CL00919,M,25-34,Single,Master,Iasi,Digital,Self-service,Standard,2020-07-13,2024-01-01,2024-06-30
CV00919-02,CL00919,M,25-34,Single,Master,Iasi,Digital,Self-service,Standard,2020-07-13,2024-07-01,9999-12-31
CV00920-01,CL00920,F,50-64,Married,Bachelor,Timis,Branch,Assisted,Standard,2021-01-22,2024-01-01,9999-12-31
CV00921-01,CL00921,M,35-49,Single,Bachelor,Dolj,Branch,Assisted,Standard,2021-03-23,2024-01-01,9999-12-31
CV00922-01,CL00922,F,50-64,Divorced,High School,Dolj,Digital,Self-service,Premium,2019-10-23,2024-01-01,9999-12-31
CV00923-01,CL00923,F,35-49,Single,Bachelor,Bucuresti,Branch,Assisted,Standard,2023-08-23,2024-01-01,2024-06-30
CV00923-02,CL00923,F,35-49,Single,Bachelor,Bucuresti,Digital,Self-service,Standard,2023-08-23,2024-07-01,9999-12-31
CV00924-01,CL00924,M,50-64,Divorced,High School,Sibiu,Branch,Assisted,Standard,2022-01-26,2024-01-01,9999-12-31
CV00925-01,CL00925,F,25-34,Single,Post-secondary,Bucuresti,Branch,Assisted,Standard,2021-02-27,2024-01-01,9999-12-31
CV00926-01,CL00926,M,25-34,Married,Master,Iasi,Digital,Self-service,Standard,2022-04-25,2024-01-01,9999-12-31
CV00927-01,CL00927,F,50-64,Married,Bachelor,Bucuresti,Branch,Assisted,Premium,2019-08-04,2024-01-01,9999-12-31
CV00928-01,CL00928,F,50-64,Married,High School,Brasov,Branch,Assisted,Standard,2018-07-23,2024-01-01,9999-12-31
CV00929-01,CL00929,M,50-64,Divorced,Bachelor,Constanta,Digital,Self-service,Standard,2022-06-19,2024-01-01,9999-12-31
CV00930-01,CL00930,M,25-34,Divorced,High School,Cluj,Digital,Self-service,Standard,2018-02-07,2024-01-01,2024-06-30
CV00930-02,CL00930,M,25-34,Divorced,High School,Cluj,Digital,Self-service,Premium,2018-02-07,2024-07-01,9999-12-31
CV00931-01,CL00931,M,35-49,Married,Post-secondary,Brasov,Digital,Self-service,Standard,2021-08-23,2024-01-01,9999-12-31
CV00932-01,CL00932,M,35-49,Married,Bachelor,Prahova,Branch,Assisted,Standard,2018-07-14,2024-01-01,9999-12-31
CV00933-01,CL00933,F,65+,Married,Bachelor,Iasi,Branch,Assisted,Standard,2019-06-22,2024-01-01,9999-12-31
CV00934-01,CL00934,M,25-34,Single,High School,Dolj,Branch,Assisted,Standard,2018-01-05,2024-01-01,9999-12-31
CV00935-01,CL00935,M,65+,Divorced,High School,Bucuresti,Branch,Assisted,Premium,2023-05-04,2024-01-01,9999-12-31
CV00936-01,CL00936,F,18-24,Married,High School,Iasi,Digital,Self-service,Standard,2018-01-11,2024-01-01,2024-06-30
CV00936-02,CL00936,F,18-24,Married,High School,Iasi,Digital,Self-service,Premium,2018-01-11,2024-07-01,9999-12-31
CV00937-01,CL00937,M,25-34,Single,Master,Bucuresti,Digital,Self-service,Standard,2022-12-25,2024-01-01,9999-12-31
CV00938-01,CL00938,F,50-64,Married,High School,Dolj,Digital,Self-service,Premium,2022-08-07,2024-01-01,9999-12-31
CV00939-01,CL00939,F,35-49,Married,Post-secondary,Cluj,Branch,Assisted,Standard,2023-06-15,2024-01-01,9999-12-31
CV00940-01,CL00940,M,35-49,Married,High School,Bucuresti,Digital,Self-service,Standard,2019-08-05,2024-01-01,9999-12-31
CV00941-01,CL00941,M,25-34,Single,Bachelor,Sibiu,Digital,Self-service,Standard,2020-10-29,2024-01-01,2024-06-30
CV00941-02,CL00941,M,25-34,Single,Bachelor,Sibiu,Digital,Self-service,Premium,2020-10-29,2024-07-01,9999-12-31
CV00942-01,CL00942,M,65+,Divorced,Master,Iasi,Branch,Assisted,Standard,2018-06-17,2024-01-01,9999-12-31
CV00943-01,CL00943,M,50-64,Married,High School,Prahova,Digital,Self-service,Premium,2022-07-13,2024-01-01,2024-06-30
CV00943-02,CL00943,M,50-64,Married,High School,Prahova,Digital,Self-service,Standard,2022-07-13,2024-07-01,9999-12-31
CV00944-01,CL00944,M,35-49,Married,Master,Bucuresti,Branch,Assisted,Standard,2022-11-20,2024-01-01,9999-12-31
CV00945-01,CL00945,M,18-24,Single,High School,Bucuresti,Digital,Self-service,Standard,2019-12-24,2024-01-01,9999-12-31
CV00946-01,CL00946,F,35-49,Single,Post-secondary,Dolj,Digital,Self-service,Standard,2021-03-16,2024-01-01,9999-12-31
CV00947-01,CL00947,M,25-34,Divorced,Post-secondary,Galati,Digital,Self-service,Standard,2018-02-22,2024-01-01,9999-12-31
CV00948-01,CL00948,M,50-64,Married,High School,Cluj,Branch,Assisted,Standard,2018-08-26,2024-01-01,9999-12-31
CV00949-01,CL00949,F,25-34,Single,Bachelor,Brasov,Digital,Self-service,Standard,2020-03-08,2024-01-01,9999-12-31
CV00950-01,CL00950,M,50-64,Married,High School,Bucuresti,Branch,Assisted,Standard,2022-10-19,2024-01-01,9999-12-31
CV00951-01,CL00951,F,50-64,Single,High School,Prahova,Digital,Self-service,Premium,2021-10-23,2024-01-01,9999-12-31
CV00952-01,CL00952,M,25-34,Married,High School,Dolj,Branch,Assisted,Premium,2023-06-13,2024-01-01,9999-12-31
CV00953-01,CL00953,F,35-49,Divorced,Bachelor,Constanta,Digital,Self-service,Standard,2022-05-03,2024-01-01,9999-12-31
CV00954-01,CL00954,F,35-49,Married,Master,Bucuresti,Branch,Assisted,Premium,2022-07-09,2024-01-01,9999-12-31
CV00955-01,CL00955,F,50-64,Married,Doctorate,Cluj,Branch,Assisted,Standard,2018-01-24,2024-01-01,2024-06-30
CV00955-02,CL00955,F,50-64,Married,Doctorate,Cluj,Digital,Self-service,Standard,2018-01-24,2024-07-01,9999-12-31
CV00956-01,CL00956,F,50-64,Married,Post-secondary,Dolj,Digital,Self-service,Standard,2023-05-14,2024-01-01,2024-06-30
CV00956-02,CL00956,F,50-64,Married,Post-secondary,Dolj,Digital,Self-service,Premium,2023-05-14,2024-07-01,9999-12-31
CV00957-01,CL00957,M,50-64,Single,High School,Brasov,Branch,Assisted,Standard,2023-06-04,2024-01-01,2024-06-30
CV00957-02,CL00957,M,50-64,Single,High School,Brasov,Digital,Self-service,Standard,2023-06-04,2024-07-01,9999-12-31
CV00958-01,CL00958,F,25-34,Married,High School,Timis,Digital,Self-service,Standard,2018-02-15,2024-01-01,9999-12-31
CV00959-01,CL00959,M,35-49,Single,Master,Dolj,Digital,Self-service,Standard,2020-07-30,2024-01-01,2024-06-30
CV00959-02,CL00959,M,35-49,Single,Master,Dolj,Digital,Self-service,Premium,2020-07-30,2024-07-01,9999-12-31
CV00960-01,CL00960,F,35-49,Married,Master,Bucuresti,Digital,Self-service,Premium,2020-02-10,2024-01-01,2024-06-30
CV00960-02,CL00960,F,35-49,Married,Master,Bucuresti,Digital,Self-service,Standard,2020-02-10,2024-07-01,9999-12-31
CV00961-01,CL00961,F,18-24,Single,Bachelor,Bucuresti,Branch,Assisted,Standard,2021-07-15,2024-01-01,9999-12-31
CV00962-01,CL00962,M,25-34,Single,High School,Bucuresti,Digital,Self-service,Standard,2018-06-28,2024-01-01,9999-12-31
CV00963-01,CL00963,M,50-64,Married,High School,Cluj,Digital,Self-service,Standard,2021-04-02,2024-01-01,9999-12-31
CV00964-01,CL00964,F,25-34,Married,Master,Prahova,Digital,Self-service,Standard,2022-12-19,2024-01-01,2024-06-30
CV00964-02,CL00964,F,25-34,Married,Master,Prahova,Digital,Self-service,Standard,2022-12-19,2024-07-01,9999-12-31
CV00965-01,CL00965,F,35-49,Married,High School,Sibiu,Branch,Assisted,Standard,2023-11-06,2024-01-01,2024-06-30
CV00965-02,CL00965,F,35-49,Married,High School,Sibiu,Branch,Assisted,Premium,2023-11-06,2024-07-01,9999-12-31
CV00966-01,CL00966,M,65+,Married,High School,Dolj,Branch,Assisted,Standard,2019-03-08,2024-01-01,9999-12-31
CV00967-01,CL00967,F,35-49,Divorced,Master,Cluj,Branch,Assisted,Premium,2018-09-22,2024-01-01,9999-12-31
CV00968-01,CL00968,F,18-24,Single,Post-secondary,Bucuresti,Branch,Assisted,Standard,2022-01-23,2024-01-01,9999-12-31
CV00969-01,CL00969,F,35-49,Married,High School,Iasi,Digital,Self-service,Premium,2023-03-27,2024-01-01,9999-12-31
CV00970-01,CL00970,M,18-24,Single,High School,Sibiu,Digital,Self-service,Standard,2023-04-03,2024-01-01,9999-12-31
CV00971-01,CL00971,M,50-64,Married,Post-secondary,Cluj,Digital,Self-service,Standard,2020-10-31,2024-01-01,9999-12-31
CV00972-01,CL00972,F,35-49,Married,Post-secondary,Cluj,Digital,Self-service,Premium,2023-07-15,2024-01-01,9999-12-31
CV00973-01,CL00973,F,50-64,Married,Bachelor,Galati,Digital,Self-service,Standard,2020-10-11,2024-01-01,9999-12-31
CV00974-01,CL00974,F,50-64,Married,Post-secondary,Galati,Digital,Self-service,Standard,2020-10-11,2024-01-01,9999-12-31
CV00975-01,CL00975,F,35-49,Married,High School,Galati,Digital,Self-service,Standard,2021-11-13,2024-01-01,9999-12-31
CV00976-01,CL00976,M,18-24,Single,High School,Bucuresti,Digital,Self-service,Standard,2022-05-19,2024-01-01,2024-06-30
CV00976-02,CL00976,M,18-24,Single,High School,Bucuresti,Digital,Self-service,Premium,2022-05-19,2024-07-01,9999-12-31
CV00977-01,CL00977,F,18-24,Single,High School,Sibiu,Digital,Self-service,Standard,2019-12-24,2024-01-01,2024-06-30
CV00977-02,CL00977,F,18-24,Single,High School,Sibiu,Digital,Self-service,Premium,2019-12-24,2024-07-01,9999-12-31
CV00978-01,CL00978,F,35-49,Married,Post-secondary,Cluj,Branch,Assisted,Standard,2021-02-20,2024-01-01,2024-06-30
CV00978-02,CL00978,F,35-49,Married,Post-secondary,Cluj,Digital,Self-service,Standard,2021-02-20,2024-07-01,9999-12-31
CV00979-01,CL00979,F,25-34,Single,High School,Dolj,Digital,Self-service,Standard,2022-12-08,2024-01-01,9999-12-31
CV00980-01,CL00980,M,18-24,Single,Master,Galati,Branch,Assisted,Standard,2019-11-17,2024-01-01,9999-12-31
CV00981-01,CL00981,M,25-34,Single,Bachelor,Bucuresti,Digital,Self-service,Standard,2022-07-18,2024-01-01,2024-06-30
CV00981-02,CL00981,M,25-34,Single,Bachelor,Bucuresti,Digital,Self-service,Standard,2022-07-18,2024-07-01,9999-12-31
CV00982-01,CL00982,M,35-49,Married,High School,Timis,Digital,Self-service,Standard,2019-10-13,2024-01-01,9999-12-31
CV00983-01,CL00983,F,50-64,Single,Master,Galati,Branch,Assisted,Standard,2022-06-11,2024-01-01,9999-12-31
CV00984-01,CL00984,F,35-49,Married,Bachelor,Timis,Digital,Self-service,Premium,2022-01-08,2024-01-01,9999-12-31
CV00985-01,CL00985,M,50-64,Single,High School,Prahova,Digital,Self-service,Standard,2022-10-16,2024-01-01,2024-06-30
CV00985-02,CL00985,M,50-64,Single,High School,Prahova,Digital,Self-service,Premium,2022-10-16,2024-07-01,9999-12-31
CV00986-01,CL00986,F,50-64,Single,Post-secondary,Cluj,Branch,Assisted,Premium,2023-09-11,2024-01-01,9999-12-31
CV00987-01,CL00987,F,25-34,Single,Post-secondary,Constanta,Digital,Self-service,Standard,2021-02-14,2024-01-01,9999-12-31
CV00988-01,CL00988,M,25-34,Married,Bachelor,Constanta,Digital,Self-service,Standard,2019-12-05,2024-01-01,9999-12-31
CV00989-01,CL00989,M,35-49,Married,Master,Constanta,Digital,Self-service,Standard,2023-10-02,2024-01-01,9999-12-31
CV00990-01,CL00990,F,35-49,Single,Bachelor,Timis,Digital,Self-service,Premium,2018-03-25,2024-01-01,2024-06-30
CV00990-02,CL00990,F,35-49,Single,Bachelor,Timis,Digital,Self-service,Standard,2018-03-25,2024-07-01,9999-12-31
CV00991-01,CL00991,M,35-49,Married,Bachelor,Constanta,Digital,Self-service,Standard,2019-09-11,2024-01-01,9999-12-31
CV00992-01,CL00992,M,50-64,Married,Post-secondary,Bucuresti,Digital,Self-service,Standard,2019-03-03,2024-01-01,2024-06-30
CV00992-02,CL00992,M,50-64,Married,Post-secondary,Bucuresti,Digital,Self-service,Standard,2019-03-03,2024-07-01,9999-12-31
CV00993-01,CL00993,F,50-64,Single,Bachelor,Dolj,Branch,Assisted,Standard,2019-12-28,2024-01-01,9999-12-31
CV00994-01,CL00994,F,50-64,Married,Bachelor,Iasi,Digital,Self-service,Standard,2019-12-30,2024-01-01,9999-12-31
CV00995-01,CL00995,F,35-49,Married,High School,Brasov,Digital,Self-service,Standard,2019-10-03,2024-01-01,9999-12-31
CV00996-01,CL00996,F,50-64,Married,Bachelor,Brasov,Branch,Assisted,Standard,2021-02-18,2024-01-01,9999-12-31
CV00997-01,CL00997,F,50-64,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2022-01-18,2024-01-01,9999-12-31
CV00998-01,CL00998,M,65+,Married,High School,Iasi,Branch,Assisted,Standard,2018-06-23,2024-01-01,9999-12-31
CV00999-01,CL00999,F,25-34,Single,High School,Prahova,Digital,Self-service,Standard,2019-05-08,2024-01-01,9999-12-31
CV01000-01,CL01000,M,35-49,Married,High School,Constanta,Digital,Self-service,Standard,2021-04-25,2024-01-01,9999-12-31
CV01001-01,CL01001,M,50-64,Married,High School,Iasi,Branch,Assisted,Standard,2020-04-22,2024-01-01,9999-12-31
CV01002-01,CL01002,F,18-24,Single,Bachelor,Iasi,Digital,Self-service,Standard,2020-11-16,2024-01-01,9999-12-31
CV01003-01,CL01003,M,50-64,Married,Bachelor,Bucuresti,Digital,Self-service,Premium,2019-03-24,2024-01-01,9999-12-31
CV01004-01,CL01004,M,65+,Married,Post-secondary,Constanta,Branch,Assisted,Standard,2023-04-07,2024-01-01,2024-06-30
CV01004-02,CL01004,M,65+,Married,Post-secondary,Constanta,Digital,Self-service,Standard,2023-04-07,2024-07-01,9999-12-31
CV01005-01,CL01005,M,25-34,Single,High School,Galati,Digital,Self-service,Standard,2018-04-22,2024-01-01,9999-12-31
CV01006-01,CL01006,M,50-64,Married,Post-secondary,Dolj,Digital,Self-service,Premium,2021-03-22,2024-01-01,9999-12-31
CV01007-01,CL01007,F,50-64,Divorced,Bachelor,Sibiu,Branch,Assisted,Standard,2021-07-09,2024-01-01,9999-12-31
CV01008-01,CL01008,F,35-49,Married,Bachelor,Sibiu,Digital,Self-service,Standard,2022-01-27,2024-01-01,9999-12-31
CV01009-01,CL01009,M,65+,Divorced,High School,Bucuresti,Branch,Assisted,Standard,2020-03-31,2024-01-01,9999-12-31
CV01010-01,CL01010,M,35-49,Divorced,Bachelor,Iasi,Digital,Self-service,Standard,2019-09-17,2024-01-01,9999-12-31
CV01011-01,CL01011,F,35-49,Single,High School,Bucuresti,Branch,Assisted,Standard,2019-10-05,2024-01-01,9999-12-31
CV01012-01,CL01012,M,25-34,Single,High School,Timis,Digital,Self-service,Standard,2021-07-19,2024-01-01,9999-12-31
CV01013-01,CL01013,M,50-64,Married,Bachelor,Dolj,Branch,Assisted,Standard,2022-11-20,2024-01-01,2024-06-30
CV01013-02,CL01013,M,50-64,Married,Bachelor,Dolj,Digital,Self-service,Standard,2022-11-20,2024-07-01,9999-12-31
CV01014-01,CL01014,F,35-49,Married,Bachelor,Galati,Digital,Self-service,Standard,2018-10-27,2024-01-01,9999-12-31
CV01015-01,CL01015,M,25-34,Single,Bachelor,Constanta,Digital,Self-service,Standard,2023-09-14,2024-01-01,9999-12-31
CV01016-01,CL01016,F,50-64,Married,High School,Galati,Digital,Self-service,Premium,2023-09-08,2024-01-01,9999-12-31
CV01017-01,CL01017,F,25-34,Married,Bachelor,Prahova,Digital,Self-service,Standard,2022-07-20,2024-01-01,9999-12-31
CV01018-01,CL01018,F,50-64,Married,Master,Bucuresti,Digital,Self-service,Standard,2020-03-02,2024-01-01,9999-12-31
CV01019-01,CL01019,F,50-64,Single,Post-secondary,Bucuresti,Digital,Self-service,Standard,2021-05-08,2024-01-01,9999-12-31
CV01020-01,CL01020,M,35-49,Divorced,Bachelor,Bucuresti,Branch,Assisted,Standard,2021-09-08,2024-01-01,9999-12-31
